PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40081223,Ultrasound-triggered lysosomal alkalinization to block autophagy in tumor therapy.,2025-03-08,Yang Bai; Liang Zhao,"Academy of Medical Engineering and Translational Medicine, Tianjin University, Tianjin, 300072, China; Department of Stomatology, Tianjin Medical University General Hospital, 154 Anshan Road, Heping District, Tianjin, 300052, China. Electronic address: bystomatology@163.com.; School of Pharmacy, Jinzhou Medical University, Jinzhou 121000, P R China; Key Laboratory of Neurodegenerative Diseases of Liaoning Province, Jinzhou Medical University, Jinzhou, 121000, China; Collaborative Innovation Center for Age-related Disease, Jinzhou Medical University, Jinzhou, 121000, China. Electronic address: liangzhao79@163.com.",
40081221,Overcoming cancer therapy resistance: From drug innovation to therapeutics.,2025-03-08,Jin-Rui Wei; Tian-Hua Wei; Shan-Liang Sun; Nian-Guang Li; Ye Yang,the first clinical co; national and local co,
40081220,"Resistance to immunotherapy in non-small cell lung cancer: Unraveling causes, developing effective strategies, and exploring potential breakthroughs.",2025-02-25,Shuang Dong; Xiaoyu Li; Qing Huang; Yuanxiang Li; Jinjiao Li; Xianmin Zhu; Chang Xue; Runzhi Chen; Yuan Zeng; Jingyi Wu; Yi Zhong; Sheng Hu,tongji medical co; pfizer inc,
40081205,Oncology professionals' perceptions and recommendations to improve well-being and health at work in times of crisis: qualitative thematic analysis from the ESMO Resilience Task Force survey series.,2025-03-12,E Thorne,example coaching and consulting ltd.,
40081197,Metronomic Photodynamic Therapy With Immune Checkpoint Inhibitors Does Not Affect Nontarget Lesions.,2025-03-12,Takao Sugihara; Hironori Tsujimoto; Yujiro Itazaki; Seiichiro Fujishima; Keita Kouzu; Yoshihisa Yaguchi; Hiroyuki Horiguchi; Hideki Ueno; Yuji Morimoto,national defense medical co,
40081185,Changes in unmet needs after treatment for head and neck cancers - A prospective longitudinal cohort study.,2025-03-12,Naa Kwarley Quartey; Jessica Weiss,"Department of Biostatistics, Princess Margaret Cancer Centre, University of Toronto, Canada. Electronic address: jess.weiss23@gmail.com.; Cancer Education Program, Princess Margaret Cancer Centre, Canada. Electronic address: naakwarley.quartey@uhn.ca.",
40081103,Discovery of novel small molecules targeting TGF-β signaling for the treatment of non-small cell lung cancer.,2025-03-12,Tao Li; Yihua Chen,"Department of Surgical Oncology, Tumor Hospital, The General Hospital of Ningxia Medical University, Ningxia, China. Electronic address: lit1979@163.com.; school of pharmaceutical sciences and yunnan key laboratory of pharmacology for natural products and yunnan co",
40081022,Breast cancer characteristics in low- and middle-income countries: An umbrella review.,2025-03-12,Lisbeth Tolentino-Rodriguez,"Inserm U1094, IRD U270, Univ. Limoges, CHU Limoges, EpiMaCT - Epidemiology of Chronic Diseases in Tropical Zone, Institute of Epidemiology and Tropical Neurology, OmegaHealth, 2 rue du Dr Marcland, Limoges 87000, France. Electronic address: listolen@gmail.com.",
40080964,"Planned motherhood distress in women of reproductive age with breast cancer-impacts of partner relationship, fear of cancer recurrence, decision conflict, and fertility concerns.",2025-03-06,Hsing-Chan Chiu; Chung-Ying Lin,managed by show chwan medical care corp; biostatistics co,
40080878,Mapping the patient journey: Understanding oral anticancer medication use among patients diagnosed with breast cancer.,2025-03-13,Kathy D Miller,melvin and bren simon co,
40080796,Positioning Imatinib for Pulmonary Arterial Hypertension: A Dose Finding Phase 2 Study.,2025-03-13,Andreas A Roussakis; Jane Apperley; Juan A Delgado-SanMartin; Luke Howard; Martin R Wilkins,imperial co,
40080754,Multiomics Identifies Potential Molecular Profiles Associated With Outcomes After BRAF-Targeted Therapy in Patients With BRAF V600E-Mutated Advanced Solid Tumors.,2025-03-01,Annelaura B Nielsen; Filip Mundt; Matthias Mann,novo nordisk foundation,
40080748,Using Research Capacity Enhancement to Develop and Implement National Standard-of-Care Treatment Protocols in Pakistan.,2025-03-01,Sadaf Altaf; Asim F Belgaumi,aga khan university medical co,
40080736,Initiating or Resuming Cancer Treatment After Ischemic Stroke and Clinical Outcomes.,2025-04-08,Babak Benjamin Navi,weill co,
40080521,Structured follow-up pathway to address unmet needs after transient ischaemic attack and minor stroke (SUPPORT TIA): Feasibility study and process evaluation.,2025-01-01,Melanie Calvert; Lou Atkins,university co; nihr applied research co,
40080397,Next-Gen Cancer Treatment: Nanotechnology-Driven siRNA Delivery Solutions.,2025-03-13,Kamal Dua,australian research centre in co,
40080368,Mesothelin (MSLN) is Highly Expressed in Triple Negative Breast Cancer and is Associated with Enhanced Cell Proliferation and Proinflammatory Tumor Microenvironment.,2025-03-13,Brendan L Hagerty; Takumi Sato; Rongrong Wu; Kazuaki Takabe,roswell park co,
40080361,The emerging role of Sotorasib plus Panitumumab combination therapy in colorectal cancer treatment.,2025-03-13,Ikponmwosa Jude Ogieuhi; Oluwatobi Taiwo Omoworare,"Siberian State Medical University, Tomsk, Russia. Jude.ogieuhi@gmail.com.; lagos state university co",
40080330,Developing a gene expression classifier for breast cancer diagnosis.,2025-03-13,Mostafa Rezaei-Tavirani,"Proteomics Research Center, Faculty of Paramedical Sciences, Shahid Beheshti University of Medical Sciences, Tehran, Iran. tavirany@yahoo.com.",
40080327,Comprehensive cohort study: computer tomography-guided high-dose rate brachytherapy as metastasis-directed therapy for liver metastases from colorectal cancer in repeat oligoprogression.,2025-03-13,Jacek Fijuth; Łukasz Kuncman,copernicus memorial hospital in lodz co,
40080320,Exploring novel biomarkers and immunotherapeutic targets for biofeedback therapies to reveal the tumor-associated immune microenvironment through a multimetric analysis of kidney renal clear cell carcinoma.,2025-03-13,Wenqi Feng,"Yibin Traditional Chinese Medicine Hospital, Yibin, China. moonly1981@163.com.",
40080266,Site-specific PEGylation of recombinant protein SAC-TRAIL and characterization of the effect on antitumor activity.,2025-03-13,Zebo Xiu,"Liaocheng People's Hospital, Liaocheng, Shandong, 252000, China. 976230141@qq.com.",
40080212,An exploration of nursing and Allied Health Professional (AHP)-led post-treatment surveillance and survivorship care for people with head and neck cancer-a scoping review.,2025-03-13,Grainne Brady; Justin Roe,imperial co,
40080157,Impact of functional capacity before hematopoietic stem cell transplantation on the length of hospital stay.,2025-03-13,Giana Berleze Penna,"Physical Therapy Department, Graduate Program in Rehabilitation Sciences, Federal University of Health Sciences of Porto Alegre (UFCSPA), Porto Alegre, Brazil. gianapenna@gmail.com.",
40080155,Exploring mechanisms of britannin against colorectal cancer based on experimentally validated network pharmacology.,2025-03-13,Lei Ding,"Department of Oncology, Beijing Shijitan Hospital, Capital Medical University, Beijing, China. dinglei1005@126.com.",
40080120,Correction: HER-2 SMASH.,2025-03-13,Celal Alandağ,"Department of Medical Oncology, Sivas Medicana Hospital, Sivas, Türkiye. dralandag@hotmail.com.",
40080088,Chemotherapy-related cognitive impairment and kidney dysfunction.,2025-03-13,Robert Unwin,university co,
40072667,Vancomycin- induced leukocytoclastic vasculitis in a patient with end-stage renal disease: a case report and literature review.,2025-03-12,Maryam S Fakhri B; Shila Aghayani; Niloofar Khoshnam Rad,hospital co; imam khomeini hospital co,
40080017,Health Care Contact Days for Older Adults Enrolled in Cancer Clinical Trials.,2025-03-03,Riha Vaidya,now with flatiron health inc,
40080000,Persistent Prostate-Specific Antigen Following Radical Prostatectomy for Prostate Cancer and Mortality Risk.,2025-03-13,Ming-Hui Chen; Jing Wu,university of co; department of co,
40079940,Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial.,2025-03-13,Kun-Yu Yang; Jing Huang,tongji medical co,
40079845,Redefining Hepatocellular Carcinoma Treatment: Nanotechnology Meets Tumor Immune Microenvironment.,2025-03-13,Chuanliang Mi,shandong aimeng biotechnology co.,
40079707,"The current landscape of 1,2,3-triazole hybrids with anticancer therapeutic potential: Part I.",2025-03-01,Yafei Zhuang,xianning medical co,
40079704,Multicomponent interventions designed to support adherence to guideline-recommended therapy in patients with peripheral artery disease: A scoping review.,2025-03-13,Smaragda Lampridou; Tania Domun; Javiera Rosenberg; Rachael Lear; Alun Huw Davies; Mary Wells; Gaby Judah,imperial co,
40079654,Radiotherapy quality assurance in the PROTECT trial - a European randomised phase III-trial comparing proton and photon therapy in the treatment of patients with oesophageal cancer.,2025-03-13,Muhammad Shamshad,ebg medaustron gmbh,
40079530,Clinical outcomes and molecular characteristics of lung-only and liver-only metastatic pancreatic cancer: results from a real-world evidence database.,2025-03-10,Edik Blais; Rachna T Shroff; Patricia DeArbeloa; Emmanuel Petricoin; Michael J Pishvaian,sidney kimmel co; university of arizona co; perthera inc.,
40079446,Proteomic Analyses of Clots Identify Stroke Etiologies in Patients Undergoing Endovascular Therapy.,2025-03-01,Tae Jung Kim; Jin Woo Jung; Young-Ju Kim; Dohyun Han; Sang-Bae Ko,proteomics co; seoul national university co,
40079445,Quantifying multi-institutional ADC measurement variability of 1.5 T MR-Linacs: A phantom and in vivo study.,2025-03-13,John Baines,james co,
40079425,Dosimetric effect of silicone-based gel on skin surface during volumetric modulated arc therapy for breast cancer.,2025-03-13,Tenyoh Suzuki; Shingo Ohira; Masanari Minamitani; Keiichi Nakagawa,department of co,
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,2025-03-13,James Hanyok; Li Liu; Yasser Mostafa Kamel; Karima Imadalou; Arnaud Lesegretain,daiichi sankyo,
40079099,Integration of Photodiagnosis and Therapy Guided by Micro/Nanorobots.,2025-03-13,Donghu Yu,international science and technology co,
40079085,Bruton tyrosine kinase covalent inhibition shapes the immune microenvironment in chronic lymphocytic leukemia.,2025-03-13,Marta Crespo,"Experimental Hematology, Vall d'Hebron Institute of Oncology (VHIO), Vall d'Hebron Barcelona Hospital Campus, Barcelona, Spain; Department of Medicine, Universitat Autònoma de Barcelona, Bellaterra. macrespo@vhio.net.",
40078999,Maplirpacept: a CD47 decoy receptor with minimal red blood cell binding and robust anti-tumor efficacy.,2025-01-01,Mithunah Krishnamoorthy; Ruth Seelige; Christopher R Brown; Nancy Chau; Natasja Nielsen Viller; Lisa D S Johnson; Emma Linderoth; Christopher P Dillon; Keith Abayasiriwardana; Clare Lees; Mark Wong; Megan M Kaneda; Robert A Uger; Gloria H Y Lin,trillium therapeutics inc.; pfizer oncology,
40078996,Prospect of extracellular vesicles in tumor immunotherapy.,2025-01-01,Na Xie,and co,
40078990,Advances in primary large B-cell lymphoma of immune-privileged sites.,2025-01-01,Liao Wang; Shuling Hou,tongji medical co,
40078651,Advancing Nanomedicine Through Electron Microscopy: Insights Into Nanoparticle Cellular Interactions and Biomedical Applications.,2025-01-01,Sultan Akhtar; Fatimah Zuhair,institute for research and medical co; department of infection co,
40078560,Integrated analysis of single-cell and bulk transcriptomes uncovers clinically relevant molecular subtypes in human prostate cancer.,2025-01-30,Tao Ding; Fanghong Lei,shantou university medical co,
40078401,Upfront fixed-duration treatment strategies for chronic lymphocytic leukemia in Arab populations: a position statement from the Gulf region.,2025-01-01,Mohamed A Yassin; Anas Hamad; Rola Ghasoub; Ahmad Alhuraiji,kuwait cancer co; hamad medical corp,
40078367,Gut microbiota therapy in gastrointestinal diseases.,2025-01-01,Nehaz Muhammad; Suleman,hebei co; government post graduate co,
40078365,Ferroptosis and noncoding RNAs: exploring mechanisms in lung cancer treatment.,2025-01-01,Farzad Sadri,student research co,
40078192,Multi-omics analysis identifies a liquid-liquid phase separation-related subtypes in head and neck squamous cell carcinoma.,2025-01-01,Peng-Lei Zhai; Jing-Jun Zhao; Qing-Hai Tang; Biao Gu; Shu-Ping Zhang; Si-Ping Tang; Da Fu,key laboratory of functional organometallic materials of co; hunan key laboratory for co,
40078190,Efficacy of anlotinib and chemotherapy combination as neoadjuvant therapy in the treatment of pulmonary artery intimal sarcoma: a case report.,2025-01-01,Gai Liang; Qu Zhang; Yan Luo; Yuanhua Zhao; Bo Luo,tongji medical co,
40078180,Feasibility study of 4D-online monitoring of density gradients induced by lung cancer treatment using carbon ions.,2025-01-01,Claire-Anne Reidel; Felix Horst; Lévana Gesson; Athena Paz; Christian Graeff; Timo Steinsberger; Marco Durante; Uli Weber; Christoph Schuy,institute of co; r schwerionenforschung gmbh,
40078077,Number needed to treat (NNT) with pembrolizumab as an adjuvant therapy in resected patients with high-risk stage II (IIB and IIC) melanoma and its application to cost of preventing an event (COPE) in Mexico.,2025-12-01,Mónica Rojas Rojas; Juan Urrego-Reyes; Daniela Medrano Rivera; Roberto Acevedo; Ruixuan Jiang; Shan Jiang; Shujing Zhang; Clemens Krepler; Mizuho Fukunaga-Kalabis,"MSD Mexico, Ciudad de Mexico, Mexico.; msd co; merck",
40078015,New index for quantitative comparison of dose distributions in radiotherapy.,2025-03-12,Vadim Y Kuperman,"Medical Physics Support, Inc., Tampa, Florida, USA.",
40077993,Synthesis and Imaging of Novel CDK19-Targeted Tracers Incorporating an Albumin-Binding Moiety.,2025-03-01,Panfeng Li; Yanli Li; Jiang Yu; Jiaci Nie; Xiaoman Liu; Wenbin Hou; Yu Zhao; Yiliang Li,chinese academy of medical sciences and peking union medical co,
40077821,Bacteriocins from Lactic Acid Bacteria Could Modulate the Wnt Pathway: A Possible Therapeutic Candidate for the Management of Colorectal Cancer- An In silico Study.,2025-03-12,Sherlin Rosita Arokiaraj; Chaiyavat Chaiyasut; Bhagavathi Sundaram Sivamaruthi,bishop heber co; and co,
40077819,Near-infrared (NIR) Fluorophores in Cancer Bioimaging and Therapy.,2025-03-12,Libo Yan,xianning medical co,
40077797,Nutritional Status and Its Impact on Treatment Tolerance in Non-Small-Cell Lung Cancer Patients Receiving Osimertinib.,2025-03-06,Claudia Barca-Díez; Regina Palmeiro-Carballa; Susana Castro-Luaces; Maria Susana Fortes-González; Noemi Martínez-López-De-Castro; Natividad Lago-Rivero,university hospital co,
40077738,Gnetin C in Cancer and Other Diseases: What Do We Know So Far?,2025-02-28,Gisella Campanelli; Anait S Levenson,lewyt co,
40077038,Patient Education on Exercise Prehabilitation Among Patients Receiving Neoadjuvant Therapy for Cancer Surgery in China: A Mixed-Methods Study.,2025-02-22,Xiaohan Xu; Jiao Zhang; Yuelun Zhang; Xuerong Yu,peking union medical co,
40076928,Combined Therapy Targeting MET and Pro-HGF Activation Shows Significant Therapeutic Effect Against Liver Metastasis of CRPC.,2025-03-05,Hiroaki Kataoka,organization for promotion of research and industry academic regional co,
40076912,Xanthohumol Sensitizes Melanoma Cells to Vemurafenib by Lowering Membrane Cholesterol and Increasing Membrane Fluidity.,2025-03-04,Fatiha Ghilane; Christine Terryn,"rue co; Laboratoire de Biologie des Pathologies Humaines, Université Mohammed V de Rabat, 4 Avenue Ibn Battouta, Rabat B.P. 1014 RP, Morocco.",
40076902,Revealing the Role of Beesioside O from ,2025-03-04,Shuyang Li; Juan Lu; Hongwei Xue; Yang Lou; Yutian Wang; Haifeng Wu; Xi Chen,peking union medical co,
40076892,Nutrients Lowering Obesity-Linked Chemokines Blamable for Metastasis.,2025-03-04,Nicoleta Radu; Mihai Dan Caramihai,roche; faculty of automatic control and co,
40076652,Pro-Apoptotic Effects of Anandamide in Human Gastric Cancer Cells Are Mediated by AKT and ERK Signaling Pathways.,2025-02-26,Juan A Matus-Santos,"International Oncologic Center (COI), Mexico City 04700, Mexico.",
40076649,Molecular Docking of Lactoferrin with Apoptosis-Related Proteins Insights into Its Anticancer Mechanism.,2025-02-26,Lidia Esmeralda Angel-Lerma; Javier Carrillo-Campos; Luis Ignacio Siañez-Estrada; Tania Samanta Siqueiros-Cendón; Dyada Blanca León-Flores; Edward Alexander Espinoza-Sánchez; Sigifredo Arévalo-Gallegos; Blanca Flor Iglesias-Figueroa; Quintín Rascón-Cruz,"Facultad de Zootecnia y Ecología, Universidad Autónoma de Chihuahua, Periférico Francisco R. Almada km 1, Chihuahua 31453, Mexico.; Facultad de Ciencias Químicas, Universidad Autónoma de Chihuahua, Campus II Circuito Universitario s/n, Chihuahua 31125, Mexico.",
40076642,"Unveiling the Mechanism of Action of Palmitic Acid, a Human Topoisomerase 1B Inhibitor from the Antarctic Sponge ",2025-02-26,Paola Fiorani,national research co,
40076626,Impact of Dietary Fiber on Inflammation in Humans.,2025-02-25,Martin O Weickert,enets co,
40076620,"Targeting NEK Kinases in Gastrointestinal Cancers: Insights into Gene Expression, Function, and Inhibitors.",2025-02-25,Heng Lu; Wael El-Rifai; Zheng Chen; Ravindran Caspa Gokulan; Oliver Gene McDonald; Dunfa Peng,sylvester co,
40076604,Interaction of Avapritinib with Congo Red in Pancreatic Cancer Cells: Molecular Modeling and Biophysical Studies.,2025-02-25,Małgorzata Lasota; Daniel Jankowski; Anna Wiśniewska; Anna Misterka-Kozaka; Marta Kaczor-Kamińska; Marta Zarzycka; Maksym Patena; Tomasz Brzozowski,jagiellonian university medical co,
40076592,Recent Advances on the Role of B Vitamins in Cancer Prevention and Progression.,2025-02-25,Zachary Frost; Sandra Bakhit; Chelsea N Amaefuna; Ryan V Powers; Kota V Ramana,noorda co,
40076567,TANK-Binding Kinase 1 in the Pathogenesis and Treatment of Inflammation-Related Diseases.,2025-02-24,Ting Liu,national co,
40076565,Mitoregulin Promotes Cell Cycle Progression in Non-Small Cell Lung Cancer Cells.,2025-02-24,Colleen S Stein; Connor R Linzer; Collin D Heer; Nathan H Witmer; Jesse D Cochran; Douglas R Spitz; Ryan L Boudreau,holden co; carver co,
40076563,Rational Design and Optimization of Novel PDE5 Inhibitors for Targeted Colorectal Cancer Therapy: An In Silico Approach.,2025-02-24,Abayomi Emmanuel Adegboyega,structural and co; jaris co,
40076521,Circulating Tumour DNA for Ovarian Cancer Diagnosis and Treatment Monitoring: What Perspectives for Clinical Use?,2025-02-22,Du-Bois Asante,university of cape co,
40076494,CYP4X1 Expression Is Associated with Metastasis and Poor Prognosis in Patients with Colorectal Cancer.,2025-02-21,Hyeongjoo Kim,korean drug co.,
40076483,Advances in Melanoma and Skin Cancers.,2025-02-21,Domenico Mallardo; Maria Grazia Vitale,"Melanoma, Cancer Immunotherapy and Development Therapeutics Unit, Istituto Nazionale Tumori IRCCS ""Fondazione G. Pascale"", Via Mariano Semmola, 53, 80131 Naples, Italy.",
40076457,Spatial Transcriptomic Analysis of Surgical Resection Specimens of Primary Head and Neck Squamous Cell Carcinoma Treated with Afatinib in a Window-of-Opportunity Study (EORTC90111-24111).,2025-02-20,Axelle Loriot,group of co,
40076263,An Evaluation of the Potential Radiosensitization Effect of Spherical Gold Nanoparticles to Induce Cellular Damage Using Different Radiation Qualities.,2025-02-24,Charlot Vandevoorde,r schwerionenforschung gmbh,
40075895,The Value of Clinical Decision Support in Healthcare: A Focus on Screening and Early Detection.,2025-03-06,Hendrik Schäfer; Nesrine Lajmi; Paolo Valente; Alessandro Pedrioli; Daniel Cigoianu; Bernhard Hoehne; Michaela Schenk; Chaohui Guo; Ruby Singhrao; Deniz Gmuer; Rezwan Ahmed; Okan Ekinci,university co; roche diagnostics; regulatory roche information; roche information,
40075848,A Rapid and Reliable Test for ,2025-03-01,Douglas A Levine,merck research,
40075756,Bioactive Compounds Targeting Dihydroceramide and Their Therapeutic Potential in Cancer Treatment.,2025-03-06,Yumi Jang,basic-clinical co,
40075735,Systemic Treatment in Soft Tissue Sarcomas: Are We Making a Difference?,2025-03-05,Amrit Paudel; Aleksandra Watson; Gina D'Amato; Jonathan Trent; Steven Bialick; Emily Jonczak,sylvester co,
40075731,Efficiency of Fulvestrant Monotherapy After CDK4/6 Inhibitor Exposure: Is This a Viable Choice?,2025-03-04,Brian G Barnett; Nicholas J H Sharp; Sandra E Dunn,phoenix molecular designs ltd.,
40075712,Epigenetic Landscapes of Aging in Breast Cancer Survivors: Unraveling the Impact of Therapeutic Interventions-A Scoping Review.,2025-03-03,Nikita Nikita; Zhengyang Sun; Swapnil Sharma; Amy Shaver; Victoria Seewaldt; Grace Lu-Yao,city of hope co; sidney kimmel medical co; sidney kimmel co,
40075709,The Oncological Outcome of Postoperative Radiotherapy in Patients with Node-Negative Early-Stage (T1/T2/N0) Oral Squamous Cell Carcinoma and Perineural Invasion: A Meta-Analysis.,2025-03-03,William M Mendenhall,university of florida co,
40075706,Atomic Force Microscopy: A Versatile Tool in Cancer Research.,2025-03-02,Valeria De Matteis; Mariafrancesca Cascione,national research co,
40075693,A Scoping Review of the Implications and Applications of Body Composition Assessment in Locally Advanced and Locally Recurrent Rectal Cancer.,2025-02-28,Dinh Van Chi Mai; Ioanna Drami; Edward T Pring; Jason Rai; Nicola Hodges; Elaine M Burns; John T Jenkins,imperial co,
40075678,Paradoxical Response to Neoadjuvant Therapy in Undifferentiated Pleomorphic Sarcoma: Increased Tumor Size on MRI Associated with Favorable Pathology.,2025-02-27,Sean Sachdev; Borislav A Alexiev; Pedro Hermida de Viveiros; Seth M Pollack; Yuri S Velichko,lurie co,
40075657,Risk Models to Predict Screen-Detected and Interval Breast Cancers in Population Mammography Screening Participants.,2025-02-26,Michael Luke Marinovich; Nehmat Houssami,a joint venture with cancer co,
40075647,Real-World Effectiveness of Frontline Treatments Among Patients with Chronic Lymphocytic Leukemia: Results from ConcertAI.,2025-02-26,Nnadozie Emechebe; Dureshahwar Jawaid; Beenish S Manzoor; Christopher E Jensen; Lindsay Ryland; Yangyang Liu; Steve E Marx; Wendy Sinai; Jordan Roser,abbvie; lineberger co,
40075646,Evaluating Tumor Size to Ki67 Proliferation Index Ratio for Optimizing Surgical Axillary Treatment Decisions in Breast Cancer Patients.,2025-02-26,Denisa Eskiu,cattolica nostra signora del buon co,
40075639,Targeting the Leukemia Inhibitory Factor/Leukemia Inhibitory Factor Receptor Axis Reduces the Growth of Inflammatory Breast Cancer by Promoting Ferroptosis.,2025-02-25,Bindu Santhamma; Hareesh B Nair,"Evestra, Inc., San Antonio, TX 78245, USA.",
40075630,Absolute Quantification of Nucleotide Variants in Cell-Free DNA via Quantitative NGS: Clinical Application in Non-Small Cell Lung Cancer Patients.,2025-02-25,Marie Marcq; Acya Bizieux,la roche sur,
40075620,Baseline Characteristics of Participants in the Alberta Cancer Exercise Hybrid Effectiveness-Implementation Study: A Wake-Up Call for Action.,2025-02-24,Harold Lau,child co,
40075608,Advances in CDK4 and 6 Inhibitors: Transforming Breast Cancer Treatment.,2025-02-24,Cristina Marco Continente; Marina Arribas Blázquez,universidad co; rida hospital co,
40075606,"Morpholine-Substituted Tetrahydroquinoline Derivatives as Potential mTOR Inhibitors: Synthesis, Computational Insights, and Cellular Analysis.",2025-02-23,Abhishek B Jha,carver co,
40075604,The Association Between Location of BRCA Mutation and Efficacy of PARP Inhibitor as a Frontline Maintenance Therapy in Advanced Epithelial Ovarian Cancer.,2025-02-23,Ji Hyun Kim; Se Ik Kim; Eun Taeg Kim; Hyeong In Ha; Dong-Eun Lee; Yong Jae Lee; Jung-Yun Lee; Sunghoon Kim; Sang Wun Kim; Young Tae Kim; Myong Cheol Lim; Eun-Ji Nam,pusan university co; biostatistics co; yonsei university co; kosin university co; cancer co; seoul national university co,
40075600,The Role of Reactive Oxygen Species in Colorectal Cancer Initiation and Progression: Perspectives on Theranostic Approaches.,2025-02-22,Teresa Catalano,via co,
40075584,The Experiences of Adolescents and Young Adults with Digital Supportive Care Interventions for Cancer: A Systematic Review of Qualitative Studies.,2025-02-21,Mashiad Mostafa; Y Sarah Chae; Kelcey A Bland; Helen McTaggart-Cowan,cancer co; university of british co,
40075573,Lung Cancer Therapy: The Role of Personalized Medicine.,2025-02-21,Thomas Lindahl; Nuno Vale,"Unilabs Group Services, Succursale d'Unilabs, Laboratoire d'Analyses Médicales SA, Rue de Lausanne 15, 1201 Geneva, Switzerland.; department of co",
40075571,Bacterial-Mediated In Situ Engineering of Tumour-Associated Macrophages for Cancer Immunotherapy.,2025-02-20,Gabriela Christina Kuhl; Mark Tangney,university college co,
40075564,"A Retrospective, Nationwide, Multicenter Study on Diagnosis and Treatment Outcome of Pediatric Optic Pathway/Hypothalamic Gliomas Including Analysis of Risk Factors for Progression After Systemic Anticancer Therapy.",2025-02-20,Maria M van Genderen,diagnostic center for co,
40075537,Change in diffusion weighted imaging after induction chemotherapy outperforms RECIST guideline for long-term outcome prediction in advanced nasopharyngeal carcinoma.,2025-03-12,Qi Yong H Ai; Ho Sang Leung; Frankie K F Mo; Lun M Wong; Yannis Yan Liang; Edwin P Hui; Brigette B Y Ma; Ann D King,hong kong s.a.,
40075521,Status and frontiers of Fabre disease.,2025-03-13,Wei Chu; Min Chen; Xiaoqin Lv; Sheng Lu; Linyan Qian; Jiana Shi,hangzhou medical co; zhejiang center for drug and co; the directly affiliated hospital of huzhou teachers co,
40075518,SNUH methylation classifier for CNS tumors.,2025-03-12,Kwanghoon Lee; Jin Woo Park; Jae-Kyung Won; Chul-Kee Park; Sung-Hye Park,seoul national university co; yonsei university co,
40075508,LC-MS analysis of serum lipidomic and metabolomic signatures in pediatric patients with acute lymphoblastic leukemia.,2025-03-12,Lingzhen Wang,"Department of Pediatrics Hematology and Oncology, The Affiliated Hospital of Qingdao University, Shandong, 266003, Shandong, China. hopewang2006@163.com.",
40075484,Notch signaling in the tumor immune microenvironment of colorectal cancer: mechanisms and therapeutic opportunities.,2025-03-12,Jiachun Sun; Ziyi Xu; Weizheng Wang; Penghui Li,"medical co; Department of Gastrointestinal surgery, The First Affiliated Hospital, College of Clinical Medicine, Henan University of Science and Technology, No. 24 Jinghua Road, Jianxi District, Luoyang, Henan, 471000, China. lph0819@163.com.",
40075480,Engineered circular RNA-based DLL3-targeted CAR-T therapy for small cell lung cancer.,2025-03-12,Ming Sun; Mantang Qiu,"Thoracic Oncology Institute, Peking University People's Hospital, Beijing, 100044, China. qiumantang@163.com.; Department of Oncology Center, The Affiliated Suzhou Hospital of Nanjing Medical University, Suzhou Municipal Hospital, No. 16 Baita West Road, Suzhou, 215001, China. sunming348@hotmail.com.",
40075431,Metabolic expression profiling analysis reveals pyruvate-mediated EPHB2 upregulation promotes lymphatic metastasis in head and neck squamous cell carcinomas.,2025-03-12,Siyi Zhang,"Department of Otolaryngology Head and Neck Surgery, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, P. R. China. szhang555@hotmail.com.",
40075416,Efficacy and safety of immune checkpoint inhibitors in metastatic penile squamous cell carcinoma: a retrospective multicenter analysis.,2025-03-12,Kelly Brunk,national co,
40075413,Comparison of laparoscopic versus robot-assisted sugery for rectal cancer after neo-adjuvant therapy: a large volume single center experience.,2025-03-12,Heyuan Zhu; Jingyu Zou; Hongfeng Pan; Ying Huang; Pan Chi,union medical co; department of co,
40075399,Association of metabolic dysregulation with treatment response in rectal cancer patients undergoing chemoradiotherapy.,2025-03-12,Yaqun Zhu; Yuntian Shen,"Department of Radiotherapy & Oncology, The Second Affiliated Hospital of Soochow University, San Xiang Road No. 1055, Suzhou, Jiangsu, 215004, China. szzhuyaqun@sina.com.; Department of Radiotherapy & Oncology, The Second Affiliated Hospital of Soochow University, San Xiang Road No. 1055, Suzhou, Jiangsu, 215004, China. shenyuntian2001@sina.com.",
40075375,Deep learning radiomics for the prediction of epidermal growth factor receptor mutation status based on MRI in brain metastasis from lung adenocarcinoma patients.,2025-03-12,Xiao Jia; Qiang Wen,"Department of Radiation Oncology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Shandong First Medical University, Jinan, China. wq890425@126.com.; school of co",
40075351,IP6K2 mutations as a novel mechanism of resistance to oncolytic virus therapy.,2025-03-12,Ruirong Tan,"Translational Chinese Medicine Key Laboratory of Sichuan Province, Sichuan-Chongqing Joint Key Laboratory of Innovation of New Drugs of Traditional Chinese Medicine, Sichuan Institute for Translational Chinese Medicine, Sichuan Academy of Chinese Medicine Sciences, Chengdu, 610041, China. ruirongtanlab@163.com.",
